STATION,LINENAME,DATE,TIME,ENTRIES,EXITS
BEDFORD AV,L,02/17/2017,07:00:00,1174478,0002566928                                             
BEDFORD AV,L,02/17/2017,11:00:00,1175208,0002567845                                             
BEDFORD AV,L,02/17/2017,15:00:00,1175610,0002568480                                             
BEDFORD AV,L,02/17/2017,19:00:00,1175976,0002569878                                             
BEDFORD AV,L,02/17/2017,23:00:00,1176227,0002570945                                             
BEDFORD AV,L,02/11/2017,03:00:00,36834,0000072971                                             
BEDFORD AV,L,02/11/2017,07:00:00,36865,0000073017                                             
BEDFORD AV,L,02/11/2017,11:00:00,37003,0000073326                                             
BEDFORD AV,L,02/11/2017,15:00:00,37249,0000073984                                             
BEDFORD AV,L,02/11/2017,19:00:00,37532,0000074843                                             
BEDFORD AV,L,02/11/2017,23:00:00,37782,0000075750                                             
BEDFORD AV,L,02/12/2017,03:00:00,37984,0000076042                                             
BEDFORD AV,L,02/12/2017,07:00:00,38016,0000076102                                             
BEDFORD AV,L,02/12/2017,11:00:00,38104,0000076257                                             
BEDFORD AV,L,02/12/2017,15:00:00,38302,0000076775                                             
BEDFORD AV,L,02/12/2017,19:00:00,38525,0000077336                                             
BEDFORD AV,L,02/12/2017,23:00:00,38654,0000077651                                             
BEDFORD AV,L,02/13/2017,03:00:00,38691,0000077718                                             
BEDFORD AV,L,02/13/2017,07:00:00,38738,0000077779                                             
BEDFORD AV,L,02/13/2017,11:00:00,39359,0000078284                                             
BEDFORD AV,L,02/13/2017,15:00:00,39642,0000078622                                             
BEDFORD AV,L,02/13/2017,19:00:00,39955,0000079678                                             
BEDFORD AV,L,02/13/2017,23:00:00,40113,0000080471                                             
BEDFORD AV,L,02/14/2017,03:00:00,40154,0000080558                                             
BEDFORD AV,L,02/14/2017,07:00:00,40208,0000080618                                             
BEDFORD AV,L,02/14/2017,11:00:00,40840,0000081172                                             
BEDFORD AV,L,02/14/2017,15:00:00,41063,0000081581                                             
BEDFORD AV,L,02/14/2017,19:00:00,41380,0000082811                                             
BEDFORD AV,L,02/14/2017,23:00:00,41583,0000083768                                             
BEDFORD AV,L,02/15/2017,03:00:00,41648,0000083882                                             
BEDFORD AV,L,02/15/2017,07:00:00,41693,0000083950                                             
BEDFORD AV,L,02/15/2017,11:00:00,42312,0000084509                                             
BEDFORD AV,L,02/15/2017,15:00:00,42560,0000084921                                             
BEDFORD AV,L,02/15/2017,19:00:00,42853,0000085987                                             
BEDFORD AV,L,02/15/2017,23:00:00,43015,0000086831                                             
BEDFORD AV,L,02/16/2017,03:00:00,43073,0000086957                                             
BEDFORD AV,L,02/16/2017,07:00:00,43130,0000087001                                             
BEDFORD AV,L,02/16/2017,11:00:00,43774,0000087537                                             
BEDFORD AV,L,02/16/2017,15:00:00,43977,0000087910                                             
BEDFORD AV,L,02/16/2017,19:00:00,44293,0000088932                                             
BEDFORD AV,L,02/16/2017,23:00:00,44473,0000089797                                             
