C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/12/2017,03:00:00,REGULAR,37984,0000076042                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/12/2017,07:00:00,REGULAR,38016,0000076102                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/12/2017,11:00:00,REGULAR,38104,0000076257                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/12/2017,15:00:00,REGULAR,38302,0000076775                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/12/2017,19:00:00,REGULAR,38525,0000077336                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/12/2017,23:00:00,REGULAR,38654,0000077651                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/13/2017,03:00:00,REGULAR,38691,0000077718                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/13/2017,07:00:00,REGULAR,38738,0000077779                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/13/2017,11:00:00,REGULAR,39359,0000078284                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/13/2017,15:00:00,REGULAR,39642,0000078622                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/13/2017,19:00:00,REGULAR,39955,0000079678                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/13/2017,23:00:00,REGULAR,40113,0000080471                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/14/2017,03:00:00,REGULAR,40154,0000080558                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/14/2017,07:00:00,REGULAR,40208,0000080618                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/14/2017,11:00:00,REGULAR,40840,0000081172                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/14/2017,15:00:00,REGULAR,41063,0000081581                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/14/2017,19:00:00,REGULAR,41380,0000082811                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/14/2017,23:00:00,REGULAR,41583,0000083768                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/15/2017,03:00:00,REGULAR,41648,0000083882                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/15/2017,07:00:00,REGULAR,41693,0000083950                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/15/2017,11:00:00,REGULAR,42312,0000084509                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/15/2017,15:00:00,REGULAR,42560,0000084921                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/15/2017,19:00:00,REGULAR,42853,0000085987                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/15/2017,23:00:00,REGULAR,43015,0000086831                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/16/2017,03:00:00,REGULAR,43073,0000086957                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/16/2017,07:00:00,REGULAR,43130,0000087001                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/16/2017,11:00:00,REGULAR,43774,0000087537                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/16/2017,15:00:00,REGULAR,43977,0000087910                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/16/2017,19:00:00,REGULAR,44293,0000088932                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/16/2017,23:00:00,REGULAR,44473,0000089797                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/17/2017,03:00:00,REGULAR,44510,0000089945                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/17/2017,07:00:00,REGULAR,44551,0000090002                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/17/2017,11:00:00,REGULAR,45153,0000090488                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/17/2017,15:00:00,REGULAR,45414,0000090930                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/17/2017,19:00:00,REGULAR,45708,0000092095                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/17/2017,23:00:00,REGULAR,45934,0000093031                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/11/2017,03:00:00,REGULAR,931365,0002131742                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/11/2017,07:00:00,REGULAR,931383,0002131782                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/11/2017,11:00:00,REGULAR,931483,0002131989                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/11/2017,15:00:00,REGULAR,931650,0002132478                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/11/2017,19:00:00,REGULAR,931819,0002133133                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/11/2017,23:00:00,REGULAR,932010,0002133803                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/12/2017,03:00:00,REGULAR,932129,0002134061                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/12/2017,07:00:00,REGULAR,932151,0002134101                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/12/2017,11:00:00,REGULAR,932213,0002134228                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/12/2017,15:00:00,REGULAR,932416,0002134605                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/12/2017,19:00:00,REGULAR,932615,0002135081                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/12/2017,23:00:00,REGULAR,932722,0002135358                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/13/2017,03:00:00,REGULAR,932749,0002135398                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/13/2017,07:00:00,REGULAR,932785,0002135449                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/13/2017,11:00:00,REGULAR,933497,0002135717                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/13/2017,15:00:00,REGULAR,933694,0002136062                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/13/2017,19:00:00,REGULAR,933953,0002137009                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/13/2017,23:00:00,REGULAR,934073,0002137762                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/14/2017,03:00:00,REGULAR,934100,0002137825                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/14/2017,07:00:00,REGULAR,934132,0002137882                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/14/2017,11:00:00,REGULAR,934871,0002138103                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/14/2017,15:00:00,REGULAR,935077,0002138446                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/14/2017,19:00:00,REGULAR,935342,0002139574                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/14/2017,23:00:00,REGULAR,935507,0002140443                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/15/2017,03:00:00,REGULAR,935558,0002140552                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/15/2017,07:00:00,REGULAR,935587,0002140605                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/15/2017,11:00:00,REGULAR,936325,0002140918                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/15/2017,15:00:00,REGULAR,936526,0002141259                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/15/2017,19:00:00,REGULAR,936773,0002142301                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/15/2017,23:00:00,REGULAR,936909,0002143103                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/16/2017,03:00:00,REGULAR,936939,0002143191                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/16/2017,07:00:00,REGULAR,936966,0002143238                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/16/2017,11:00:00,REGULAR,937690,0002143484                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/16/2017,15:00:00,REGULAR,937928,0002143772                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/16/2017,19:00:00,REGULAR,938232,0002144699                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/16/2017,23:00:00,REGULAR,938381,0002145538                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/17/2017,03:00:00,REGULAR,938424,0002145657                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/17/2017,07:00:00,REGULAR,938450,0002145709                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/17/2017,11:00:00,REGULAR,939151,0002145976                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/17/2017,15:00:00,REGULAR,939367,0002146342                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/17/2017,19:00:00,REGULAR,939627,0002147478                                             
H009,R235,00-06-04,BEDFORD AV,L,BMT,02/17/2017,23:00:00,REGULAR,939854,0002148272                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/11/2017,03:00:00,REGULAR,401311,0000463831                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/11/2017,07:00:00,REGULAR,401334,0000463851                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/11/2017,11:00:00,REGULAR,401557,0000463967                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/11/2017,15:00:00,REGULAR,401955,0000464292                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/11/2017,19:00:00,REGULAR,402393,0000464898                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/11/2017,23:00:00,REGULAR,402732,0000465440                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/12/2017,03:00:00,REGULAR,402898,0000465618                                             
H009,R235,00-06-05,BEDFORD AV,L,BMT,02/12/2017,07:00:00,REGULAR,402918,0000465643                                             
